,Booking_ID,num_adults,num_children,weekend_nights,week_nights,total_nights,meal_plan,car_parking,room_type,lead_time,arrival_year,arrival_month,arrival_day,arrival_season,mkt_segment,repeated_guest,num_prev_cancellations,num_prev_not_canceled,avg_price_room,num_sp_requests,booking_status,meal_plan_cod,room_type_cod,mkt_segment_cod,arrival_season_cod,booking_status_cod
0,INN00001,2,0,1,2,3,Meal Plan 1,0,Room_Type 1,224,2017,10,2,winter,Offline,0,0,0,65.0,0,No cancelada,1,1,3,3,0
1,INN00002,2,0,2,3,5,Not Selected,0,Room_Type 1,5,2018,11,6,spring,Online,0,0,0,106.68,1,No cancelada,0,1,4,1,0
2,INN00003,1,0,2,1,3,Meal Plan 1,0,Room_Type 1,1,2018,2,28,spring,Online,0,0,0,60.0,0,Cancelada,1,1,4,1,1
3,INN00004,2,0,0,2,2,Meal Plan 1,0,Room_Type 1,211,2018,5,20,spring,Online,0,0,0,100.0,0,Cancelada,1,1,4,1,1
4,INN00005,2,0,1,1,2,Not Selected,0,Room_Type 1,48,2018,4,11,autumn,Online,0,0,0,94.5,0,Cancelada,0,1,4,0,1
5,INN00006,2,0,0,2,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,summer,Online,0,0,0,115.0,1,Cancelada,2,1,4,2,1
6,INN00007,2,0,1,3,4,Meal Plan 1,0,Room_Type 1,34,2017,10,15,autumn,Online,0,0,0,107.55,1,No cancelada,1,1,4,0,0
7,INN00008,2,0,1,3,4,Meal Plan 1,0,Room_Type 4,83,2018,12,26,winter,Online,0,0,0,105.61,1,No cancelada,1,4,4,3,0
8,INN00009,3,0,0,4,4,Meal Plan 1,0,Room_Type 1,121,2018,7,6,summer,Offline,0,0,0,96.9,1,No cancelada,1,1,3,2,0
9,INN00010,2,0,0,5,5,Meal Plan 1,0,Room_Type 4,44,2018,10,18,autumn,Online,0,0,0,133.44,3,No cancelada,1,4,4,0,0
10,INN00011,1,0,1,0,1,Not Selected,0,Room_Type 1,0,2018,9,11,autumn,Online,0,0,0,85.03,0,No cancelada,0,1,4,0,0
11,INN00012,1,0,2,1,3,Meal Plan 1,0,Room_Type 4,35,2018,4,30,spring,Online,0,0,0,140.4,1,No cancelada,1,4,4,1,0
12,INN00013,2,0,2,1,3,Not Selected,0,Room_Type 1,30,2018,11,26,spring,Online,0,0,0,88.0,0,Cancelada,0,1,4,1,1
13,INN00014,1,0,2,0,2,Meal Plan 1,0,Room_Type 1,95,2018,11,20,spring,Online,0,0,0,90.0,2,Cancelada,1,1,4,1,1
14,INN00015,2,0,0,2,2,Meal Plan 1,0,Room_Type 1,47,2017,10,20,autumn,Online,0,0,0,94.5,2,No cancelada,1,1,4,0,0
15,INN00016,2,0,0,2,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,spring,Online,0,0,0,115.0,1,Cancelada,2,1,4,1,1
16,INN00017,1,0,1,0,1,Meal Plan 1,0,Room_Type 1,0,2017,10,5,autumn,Offline,0,0,0,96.0,0,No cancelada,1,1,3,0,0
